Draw Date,b1,b2,b3,b4,b5,b6,Jackpot,Outcome,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
Tuesday 21 March 2023,7,22,28,34,41,10,"R3,355,849.53",Roll,26.4,28.0,11.568923891183656,7,41,34,132,142,3,3,2,4,0,False
Friday 17 March 2023,21,22,27,41,43,5,"R75,000,000",Won,30.8,27.0,9.389355675444401,21,43,22,154,159,1,5,2,4,2,True
Tuesday 14 March 2023,8,20,29,42,44,16,"R66,967,732.63",Roll,28.6,29.0,13.52922762023021,8,44,36,143,159,4,2,2,4,0,False
Friday 10 March 2023,12,19,22,27,37,6,"R60,818,027.48",Roll,23.4,22.0,8.357032966310472,12,37,25,117,123,2,4,3,3,0,False
Tuesday 7 March 2023,8,14,15,27,49,16,"R54,055,800.81",Roll,22.6,15.0,14.568459081179451,8,49,41,113,129,2,4,3,3,1,True
Friday 3 March 2023,18,20,41,47,50,14,"R48,129,502.31",Roll,35.2,41.0,13.555810562264433,18,50,32,176,190,3,3,2,4,0,False
Tuesday 28 February 2023,2,14,21,22,40,19,"R41,834,174.41",Roll,19.8,21.0,12.367699866992245,2,40,38,99,118,4,2,4,2,0,True
Friday 24 February 2023,7,23,31,38,43,11,"R35,995,709.27",Roll,28.4,31.0,12.642784503423286,7,43,36,142,153,1,5,2,4,0,False
Tuesday 21 February 2023,10,18,22,36,48,2,"R30,724,507.64",Roll,26.8,22.0,13.541048703848604,10,48,38,134,136,5,1,3,3,0,False
Friday 17 February 2023,1,2,4,19,24,19,"R26,331,467.34",Roll,10.0,4.0,9.57078889120432,1,24,23,50,69,3,3,5,1,0,True
Tuesday 14 February 2023,8,14,18,21,49,11,"R21,288,834.09",Roll,22.0,18.0,14.184498581197715,8,49,41,110,121,3,3,4,2,0,False
Friday 10 February 2023,3,5,21,42,46,6,"R16,935,202.99",Roll,23.4,21.0,17.984437717093076,3,46,43,117,123,2,4,3,3,1,False
Tuesday 7 February 2023,3,4,23,32,49,8,"R11,880,808.62",Roll,22.2,23.0,17.405746177627663,3,49,46,111,119,2,4,3,3,1,True
Friday 3 February 2023,17,32,35,42,43,6,"R6,190,893.31",Roll,33.8,35.0,9.368030742904295,17,43,26,169,175,2,4,1,5,1,True
Tuesday 31 January 2023,12,14,17,29,50,20,"R32,713,559.10",Won,24.4,17.0,14.093970341958295,12,50,38,122,142,3,3,3,3,1,False
Friday 27 January 2023,27,34,36,40,50,2,"R26,793,608.71",Roll,37.4,36.0,7.578918128598567,27,50,23,187,189,4,2,0,6,1,False
Tuesday 24 January 2023,3,10,32,40,48,2,"R20,274,209.03",Roll,26.6,32.0,17.31588865753069,3,48,45,133,135,4,2,2,4,1,False
Friday 20 January 2023,5,12,15,39,47,8,"R15,059,972.92",Roll,23.6,15.0,16.36581803638303,5,47,42,118,126,1,5,3,3,0,False
Tuesday 17 January 2023,1,9,37,38,39,5,"R10,039,480.14",Roll,24.8,37.0,16.375591592366977,1,39,38,124,129,1,5,2,4,1,True
Friday 13 January 2023,12,19,25,29,41,2,"R5,347,288.29",Roll,25.2,25.0,9.765244492586962,12,41,29,126,128,1,5,3,3,0,False
Tuesday 10 January 2023,8,22,27,37,50,9,"R72,989,769.37",Won,28.8,27.0,14.133647795243801,8,50,42,144,153,3,3,2,4,0,False
Friday 6 January 2023,6,20,31,37,46,4,"R66,945,004.62",Roll,28.0,31.0,13.870832707519762,6,46,40,140,144,3,3,2,4,1,False
Tuesday 3 January 2023,2,21,33,39,42,11,"R60,210,883.93",Roll,27.4,33.0,14.595889832415152,2,42,40,137,148,2,4,2,4,0,False
Friday 30 December 2022,5,8,27,33,48,7,"R55,000,000",Roll,24.2,27.0,16.01749044014074,5,48,43,121,128,2,4,2,4,1,False
Tuesday 27 December 2022,3,19,24,28,45,12,"R44,910,025.10",Roll,23.8,24.0,13.585286158193357,3,45,42,119,131,2,4,3,3,0,False
Friday 23 December 2022,3,12,13,18,46,1,"R40,634,676.40",Roll,18.4,13.0,14.62326912834473,3,46,43,92,93,3,3,4,2,1,True
Tuesday 20 December 2022,4,9,19,24,29,2,"R34,951,913.46",Roll,17.0,19.0,9.273618495495704,4,29,25,85,87,2,4,4,2,0,False
Friday 16 December 2022,26,28,36,43,48,11,"R29,755,514.74",Roll,36.2,36.0,8.44748483277715,26,48,22,181,192,4,2,0,6,0,False
Tuesday 13 December 2022,16,23,36,43,46,17,"R24,894,491.24",Roll,32.8,36.0,11.54816002660164,16,46,30,164,181,3,3,2,4,2,False
Friday 9 December 2022,2,9,17,45,48,14,"R20,315,849.76",Roll,24.2,17.0,18.8403821617291,2,48,46,121,135,2,4,3,3,0,False
Tuesday 6 December 2022,1,9,10,47,50,11,"R15,408,445.34",Roll,23.4,10.0,20.75186738585229,1,50,49,117,128,2,4,3,3,1,True
Friday 2 December 2022,12,14,28,31,34,5,"R10,660,355.72",Roll,23.8,28.0,9.042123644365851,12,34,22,119,124,4,2,2,4,0,False
Tuesday 29 November 2022,4,6,8,33,38,5,"R4,980,292.53",Roll,17.8,8.0,14.59314907756376,4,38,34,89,94,4,2,3,3,0,False
Friday 25 November 2022,7,16,26,34,40,11,"R135,000,000",Won,24.6,26.0,11.92644121270046,7,40,33,123,134,4,2,2,4,0,False
Tuesday 22 November 2022,5,18,21,37,38,19,"R122,706,888.17",Roll,23.8,21.0,12.416118556135006,5,38,33,119,138,2,4,3,3,0,True
Friday 18 November 2022,13,24,29,47,50,5,"R115,592,446.47",Roll,32.6,29.0,14.008568806269968,13,50,37,163,168,2,4,2,4,0,False
Tuesday 15 November 2022,5,7,16,36,41,2,"R107,759,896.80",Roll,21.0,16.0,14.845874847916509,5,41,36,105,107,2,4,3,3,0,False
Friday 11 November 2022,1,28,34,35,39,18,"R100,000,000",Roll,27.4,34.0,13.661625086350453,1,39,38,137,155,2,4,1,5,0,True
Tuesday 8 November 2022,7,8,9,10,17,17,"R91,451,105.87",Roll,10.2,9.0,3.54400902933387,7,17,10,51,68,2,4,5,1,0,True
Friday 4 November 2022,1,8,29,35,40,15,"R84,557,642.80",Roll,22.6,29.0,15.344054223053305,1,40,39,113,128,2,4,2,4,1,False
Tuesday 1 November 2022,3,6,22,29,47,19,"R76,982,121.29",Roll,21.4,22.0,16.05739704933524,3,47,44,107,126,2,4,3,3,1,False
Friday 28 October 2022,15,25,30,32,40,9,"R70,000,000",Roll,28.4,30.0,8.260750571225353,15,40,25,142,151,3,3,2,4,0,False
Tuesday 25 October 2022,20,23,27,39,46,6,"R62,858,256.25",Roll,31.0,27.0,9.899494936611665,20,46,26,155,161,2,4,2,4,0,False
Friday 21 October 2022,16,18,26,35,41,3,"R56,948,028.59",Roll,27.2,26.0,9.620810776644555,16,41,25,136,139,3,3,2,4,0,False
Tuesday 18 October 2022,6,7,14,29,48,13,"R51,064,753.59",Roll,20.8,14.0,15.892136420255145,6,48,42,104,117,3,3,3,3,0,True
Friday 14 October 2022,6,17,22,33,37,2,"R45,848,465.32",Roll,23.0,22.0,11.15347479487895,6,37,31,115,117,2,4,3,3,1,False
Tuesday 11 October 2022,2,12,25,29,34,16,"R40,019,870.41",Roll,20.4,25.0,11.740528097151337,2,34,32,102,118,3,3,3,3,0,False
Friday 7 October 2022,3,12,16,33,45,15,"R34,986,600.82",Roll,21.8,16.0,15.144636014114042,3,45,42,109,124,2,4,3,3,1,False
Tuesday 4 October 2022,23,24,27,38,41,2,"R29,398,963.22",Roll,30.6,27.0,7.445804187594514,23,41,18,153,155,2,4,2,4,0,True
Friday 30 September 2022,7,27,29,35,50,3,"R24,142,308.34",Roll,29.6,29.0,13.879481258317979,7,50,43,148,151,1,5,1,5,1,False
Tuesday 27 September 2022,4,32,39,40,46,6,"R18,602,216.86",Roll,32.2,39.0,14.783774890061062,4,46,42,161,167,4,2,1,5,0,True
Friday 23 September 2022,9,25,42,46,47,16,"R13,769,240.20",Roll,33.8,42.0,14.715977711317723,9,47,38,169,185,2,4,2,4,1,True
Tuesday 20 September 2022,13,16,23,45,47,17,"R8,843,780.39",Roll,28.8,23.0,14.427751037497147,13,47,34,144,161,1,5,3,3,1,False
Friday 16 September 2022,7,16,27,28,29,17,"R4,747,983.06",Roll,21.4,27.0,8.593020423576334,7,29,22,107,124,2,4,2,4,1,True
Tuesday 13 September 2022,1,10,11,20,33,11,"R19,130,785.60",Won,15.0,11.0,10.825894882179487,1,33,32,75,86,2,4,4,2,0,True
Friday 9 September 2022,9,14,22,35,47,4,"R15,490,724.39",Roll,25.4,22.0,13.92264342716569,9,47,38,127,131,2,4,3,3,0,False
Tuesday 6 September 2022,2,8,26,31,34,5,"R10,333,742.66",Roll,20.2,26.0,12.812493902437573,2,34,32,101,106,4,2,2,4,0,False
Friday 2 September 2022,1,12,18,20,41,5,"R5,499,674.21",Roll,18.4,18.0,13.093509842666327,1,41,40,92,97,3,3,4,2,0,False
Tuesday 30 August 2022,1,7,10,27,35,17,"R63,184,853.10",Won,16.0,10.0,12.83744522870497,1,35,34,80,97,1,5,3,3,1,False
Friday 26 August 2022,3,11,17,23,45,15,"R57,198,509.75",Roll,19.8,17.0,14.232357499725756,3,45,42,99,114,0,6,4,2,0,False
Tuesday 23 August 2022,10,11,17,29,40,15,"R50,793,366.45",Roll,21.4,17.0,11.499565209172042,10,40,30,107,122,2,4,3,3,2,True
Friday 19 August 2022,23,36,39,40,43,3,"R45,830,308.70",Roll,36.2,39.0,6.968500556073738,23,43,20,181,184,2,4,1,5,1,True
Tuesday 16 August 2022,21,33,40,42,48,2,"R40,651,918.55",Roll,36.8,40.0,9.239047569960876,21,48,27,184,186,3,3,1,5,1,False
Friday 12 August 2022,24,30,38,39,44,16,"R35,728,951.13",Roll,35.0,38.0,7.0992957397195395,24,44,20,175,191,4,2,1,5,0,True
Tuesday 9 August 2022,6,26,39,42,43,1,"R30,468,504.28",Roll,31.2,39.0,13.99142594591416,6,43,37,156,157,3,3,1,5,1,True
Friday 5 August 2022,16,18,21,32,44,18,"R26,090,163.08",Roll,26.2,21.0,10.476640682967036,16,44,28,131,149,4,2,3,3,0,False
