Year,Date,Day,b1,b2,b3,b4,b5,b6,BonusBall,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
2016,23 January,Saturday,10,44,6,23,16,30,12,21.5,19.5,12.802994441405755,6,44,38,129,141,5,1,4,2,0,False
2016,20 January,Wednesday,37,11,3,43,2,1,6,16.166666666666668,7.0,17.247383054313552,1,43,42,97,103,1,5,4,2,0,True
2016,16 January,Saturday,18,8,6,25,39,47,20,23.833333333333332,21.5,15.115297622680878,6,47,41,143,163,3,3,4,2,0,False
2016,13 January,Wednesday,3,24,8,47,44,9,37,22.5,16.5,17.5,3,47,44,135,172,3,3,4,2,2,True
2016,09 January,Saturday,38,2,47,46,42,31,27,34.333333333333336,40.0,15.412837362262522,2,47,45,206,233,4,2,1,5,1,True
2016,06 January,Wednesday,14,9,28,19,43,44,49,26.166666666666668,23.5,13.532881765865278,9,44,35,157,206,3,3,3,3,0,True
2016,02 January,Saturday,45,5,39,8,36,3,44,22.666666666666668,22.0,17.594190960528863,3,45,42,136,180,2,4,3,3,0,False
2016,05 August,Friday,15,34,38,8,17,29,31,23.5,23.0,10.843584893075414,8,38,30,141,172,3,3,3,3,1,False
2016,25 July,Monday,15,24,35,18,42,17,22,25.166666666666668,21.0,10.023583302503264,15,42,27,151,173,3,3,4,2,2,True
2016,22 July,Friday,40,47,49,23,20,43,15,37.0,41.5,11.357816691600547,20,49,29,222,237,2,4,2,4,0,False
2016,18 July,Monday,5,18,31,22,32,7,15,19.166666666666668,20.0,10.510576683618375,5,32,27,115,130,3,3,4,2,0,True
2016,15 July,Friday,13,36,8,43,12,38,40,25.0,24.5,14.236104336041748,8,43,35,150,190,4,2,3,3,0,True
2016,01 July,Friday,22,39,16,4,1,10,13,15.333333333333334,13.0,12.697331303160606,1,39,38,92,105,4,2,5,1,0,False
2015,30 December,Wednesday,3,2,23,48,29,45,9,25.0,26.0,18.083141320025124,2,48,46,150,159,2,4,3,3,0,True
2015,26 December,Saturday,40,41,42,9,45,24,32,33.5,40.5,12.86791876463841,9,45,36,201,233,3,3,2,4,1,True
2015,23 December,Wednesday,10,1,30,15,39,32,42,21.166666666666668,22.5,13.433995020924426,1,39,38,127,169,3,3,3,3,0,False
2015,19 December,Saturday,5,38,15,22,49,20,13,24.833333333333332,21.0,14.599276998841034,5,49,44,149,162,3,3,4,2,1,False
